w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate
440010301001008,090010208001008,1,0,1,0,0,1,0,0,0,1,20170919
440010301001008,250056420003026,1,0,0,1,0,1,0,0,0,1,20170919
440010301001008,250056441012018,1,1,0,0,0,1,0,0,0,1,20170919
440010301001008,250250907002003,1,0,1,0,0,0,1,0,0,1,20170919
440010301001008,500159535003028,1,1,0,0,0,0,1,0,0,1,20170919
440010301001010,090034771024022,1,0,0,1,1,0,0,0,0,1,20170919
440010301001010,250214421024011,1,0,1,0,1,0,0,0,0,1,20170919
440010301001013,250056331002014,1,0,1,0,0,0,1,0,0,1,20170919
440010301001013,250056331002017,1,0,1,0,0,0,1,0,0,1,20170919
440010301001013,250056461032010,1,0,1,0,1,0,0,0,0,1,20170919
440010301001013,250250003022001,1,0,1,0,0,0,1,0,0,1,20170919
440010301001014,250173352005029,1,0,1,0,0,0,1,0,0,1,20170919
440010301001027,250056331002034,1,0,0,1,0,0,1,0,0,1,20170919
440010301001027,250056441021016,1,0,1,0,1,0,0,0,0,1,20170919
440010301001027,250277351002009,1,0,0,1,0,0,1,0,0,1,20170919
440010301001027,250277363001021,1,0,0,1,0,0,1,0,0,1,20170919
440010301001036,250056415002003,1,0,1,0,1,0,0,0,0,1,20170919
440010301002000,250056415001006,1,0,1,0,1,0,0,0,0,1,20170919
440010301002000,250277381002018,1,0,0,1,0,0,1,0,0,1,20170919
440010301002016,250214431022022,1,0,1,0,0,0,1,1,0,0,20170919
440010301002019,250214431021006,1,1,0,0,0,0,1,0,0,1,20170919
440010301003000,250056451032020,1,0,1,0,0,1,0,1,0,0,20170919
440010301003000,250214421032034,1,1,0,0,0,0,1,0,0,1,20170919
440010301003000,250250401001002,1,0,1,0,0,0,1,0,0,1,20170919
440010301003000,250277471022008,1,1,0,0,0,0,1,0,0,1,20170919
440010301003009,250056332001002,1,0,0,1,0,1,0,1,0,0,20170919
440010301003011,250056304002002,1,0,1,0,0,0,1,1,0,0,20170919
440010301003011,250056304002005,1,0,1,0,0,0,1,1,0,0,20170919
440010301003011,250056413002000,1,1,0,0,0,1,0,1,0,0,20170919
440010301003014,250056321001012,1,0,1,0,1,0,0,0,0,1,20170919
440010301003015,250056322004001,1,0,0,1,0,0,1,0,0,1,20170919
440010301004017,250056317002014,1,0,1,0,0,0,1,1,0,0,20170919
440010301004017,250056413001001,1,0,1,0,0,1,0,0,0,1,20170919
440010301004017,250056441011007,1,1,0,0,0,1,0,0,0,1,20170919
440010301004017,250056441013019,1,1,0,0,0,1,0,0,0,1,20170919
440010301004017,250056451032037,1,0,1,0,0,1,0,1,0,0,20170919
